epoch,cosine_similarity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,root_mean_squared_error,val_cosine_similarity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_root_mean_squared_error
0,0.8330000042915344,0.17915254831314087,0.36296895146369934,105362848.0,0.17915254831314087,0.09373948723077774,0.42326414585113525,0.7295454740524292,0.1823403239250183,0.38041555881500244,137098256.0,0.1823403239250183,0.09525511413812637,0.42701324820518494
1,0.8330000042915344,0.15111130475997925,0.3320412039756775,94320272.0,0.15111130475997925,0.08034071326255798,0.38873037695884705,0.7295454740524292,0.18769028782844543,0.38711774349212646,140971168.0,0.18769028782844543,0.09827321767807007,0.4332323670387268
2,0.8330000042915344,0.1279906928539276,0.30616849660873413,86176416.0,0.1279906928539276,0.06891167163848877,0.3577578663825989,0.7295454740524292,0.18380790948867798,0.3779701292514801,133881264.0,0.18380790948867798,0.09527117758989334,0.42872825264930725
3,0.8330000042915344,0.1190338134765625,0.295007586479187,78604200.0,0.1190338134765625,0.0636734738945961,0.3450127840042114,0.7295454740524292,0.1801769733428955,0.36993342638015747,126728184.0,0.1801769733428955,0.09252605587244034,0.4244725704193115
4,0.8330000042915344,0.10491569340229034,0.2759755551815033,71933200.0,0.10491569340229034,0.05629565566778183,0.32390692830085754,0.7295454740524292,0.17830799520015717,0.3638949394226074,119904144.0,0.17830799520015717,0.09064453095197678,0.42226532101631165
5,0.8330000042915344,0.10490071028470993,0.2732202112674713,67978832.0,0.10490071028470993,0.05547970160841942,0.3238838016986847,0.7295454740524292,0.17929162085056305,0.3617789149284363,117765768.0,0.17929162085056305,0.09066608548164368,0.42342841625213623
6,0.8330000042915344,0.09768325835466385,0.2631658911705017,65712716.0,0.09768325835466385,0.051698651164770126,0.31254321336746216,0.7295454740524292,0.17900103330612183,0.35794153809547424,112491688.0,0.17900103330612183,0.0897880345582962,0.42308512330055237
7,0.8330000042915344,0.09704606980085373,0.26379063725471497,61416552.0,0.09704606980085373,0.05088556185364723,0.3115221858024597,0.7295454740524292,0.18041029572486877,0.35747531056404114,111402552.0,0.18041029572486877,0.09021569043397903,0.4247473180294037
8,0.8330000042915344,0.0944618359208107,0.2563689649105072,61100636.0,0.0944618359208107,0.049435894936323166,0.3073464334011078,0.7295454740524292,0.18004387617111206,0.35512641072273254,108163520.0,0.18004387617111206,0.08981402218341827,0.42431578040122986
9,0.8330000042915344,0.09273996949195862,0.25651147961616516,57818528.0,0.09273996949195862,0.048264630138874054,0.30453237891197205,0.7295454740524292,0.18062184751033783,0.35405483841896057,106866552.0,0.18062184751033783,0.0899515375494957,0.4249962866306305
10,0.8330000042915344,0.08771810680627823,0.2451971173286438,56375168.0,0.08771810680627823,0.04552384838461876,0.29617244005203247,0.7295454740524292,0.18160919845104218,0.3532591164112091,104890760.0,0.18160919845104218,0.09018243104219437,0.42615631222724915
11,0.8330000042915344,0.09235808253288269,0.2506878674030304,57361168.0,0.09235808253288269,0.047457125037908554,0.3039047122001648,0.7295454740524292,0.1817847192287445,0.3521789610385895,103281648.0,0.1817847192287445,0.0901404470205307,0.42636218667030334
12,0.8330000042915344,0.09032825380563736,0.24984577298164368,53879200.0,0.09032825380563736,0.04633370414376259,0.3005465865135193,0.7295454740524292,0.18323491513729095,0.35172656178474426,102325592.0,0.18323491513729095,0.09077391773462296,0.42805948853492737
13,0.8330000042915344,0.08815491944551468,0.2445070445537567,54268976.0,0.08815491944551468,0.04547873139381409,0.2969089448451996,0.7295454740524292,0.18417473137378693,0.35139989852905273,101234680.0,0.18417473137378693,0.09110282361507416,0.4291558265686035
14,0.8330000042915344,0.08823738992214203,0.24482151865959167,51957448.0,0.08823738992214203,0.045022301375865936,0.29704779386520386,0.7295454740524292,0.1856992393732071,0.3508894741535187,99436088.0,0.1856992393732071,0.09169831871986389,0.4309283494949341
15,0.8330000042915344,0.08680202066898346,0.2421664297580719,51264380.0,0.08680202066898346,0.044523775577545166,0.2946218252182007,0.7295454740524292,0.18635763227939606,0.3522244989871979,101329368.0,0.18635763227939606,0.09209419786930084,0.43169158697128296
