epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.202859208,0.381413609,90962728,0.516210675,0.604472518,270454848
1,0.181236416,0.361443579,79826648,0.326946557,0.482844383,168331920
2,0.170505583,0.346932828,67297448,0.251344562,0.427536845,137682160
3,0.162888154,0.333699197,59247332,0.30726552,0.395527393,72.95454407
4,0.155633494,0.330792874,53855420,0.272354722,0.393686801,55170804
5,0.143780008,0.325771242,61411132,0.225043699,0.37883541,59558732
6,0.139624417,0.316822588,58445996,0.17029193,0.361838281,101219560
7,0.137305886,0.315266997,55638672,0.30726552,0.395527393,72.95454407
8,0.137073904,0.319447607,58097016,0.302603781,0.39322874,1234339.5
9,0.131817073,0.311074525,55040056,0.306566089,0.395234078,470698.5313
10,0.128895402,0.304788023,51106320,0.292760134,0.387381017,7134101
11,0.129587337,0.304369748,49550272,0.242213249,0.376795202,47172596
12,0.126706198,0.299108595,49736760,0.269599974,0.374933869,17326516
13,0.115661174,0.284878463,49684652,0.188995689,0.363931477,98125184
14,0.132650554,0.299051464,45874088,0.187617511,0.34118256,56781076
15,0.120075122,0.288096249,48555500,0.204876885,0.373123169,87803752
16,0.125794351,0.29837817,52122176,0.302710474,0.394275397,2892074.25
17,0.13991791,0.309682399,53712612,0.2520715,0.366051286,21606854
18,0.143854916,0.315564364,56777196,0.2990264,0.391895503,5049745
19,0.135328084,0.305461943,55474888,0.248288646,0.373775423,32789830
20,0.140226573,0.305128068,53692732,0.198651507,0.393291175,158509840
21,0.14414826,0.310763747,50248700,0.21165444,0.411351919,174685664
22,0.148511305,0.316737145,50281912,0.19524163,0.339813918,43788340
23,0.144376203,0.311219215,53912068,0.277297676,0.381817251,14298036
24,0.144799978,0.312955141,49982948,0.222328544,0.365007758,55363896
