epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.153810799,0.328178585,69741944,0.30726552,0.395527393,72.95454407
1,0.134195104,0.313110828,61011536,0.242543876,0.377299488,54036900
2,0.140059635,0.321295619,65634100,0.30561918,0.394447833,72.84658813
3,0.13452585,0.317403346,65297232,0.156251371,0.364502877,126897568
4,0.139040425,0.32315436,64138892,0.213899121,0.378863603,68952688
5,0.135521784,0.319104284,62995356,0.179442927,0.371336192,100965376
6,0.137208536,0.324273407,63126280,0.154458702,0.36160937,123278488
7,0.136583909,0.319205076,59862912,0.154241338,0.361220807,122783360
8,0.137847856,0.319171727,59827096,0.178902611,0.367654711,103276384
9,0.135888919,0.319091737,60915804,0.204998136,0.35762772,65060512
10,0.134901717,0.318168968,62711780,0.152763262,0.357042015,117538680
11,0.1375283,0.321704865,62574560,0.162705377,0.352222592,100000208
12,0.132612392,0.315719962,61750248,0.198238656,0.355566919,68262184
13,0.134394765,0.317972541,60219944,0.16866684,0.342445761,85542680
14,0.13210164,0.314794064,60899636,0.173140913,0.344506502,86185056
15,0.137834981,0.322137922,61257208,0.207618997,0.35847047,63536344
16,0.136117667,0.32007283,60547244,0.249160171,0.375949442,42613228
17,0.13338764,0.314609587,56187068,0.179836869,0.356241047,80065072
18,0.13750647,0.321131945,61602476,0.153431326,0.359674007,120722088
19,0.140272573,0.32186538,59921832,0.225353777,0.377694786,67412368
20,0.141225293,0.320872217,60376460,0.29966262,0.392005116,3216466.25
21,0.13974379,0.322800338,58879548,0.259795189,0.382692814,34987816
22,0.139439061,0.320360482,57043672,0.182014257,0.365257204,93698912
23,0.17203325,0.35076353,79445768,0.152961746,0.352731973,110888856
24,0.144546092,0.32534188,62806556,0.1575488,0.357932061,111736160
