epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.17810872197151184,0.3424474596977234,60793728.0,0.3072655200958252,0.3955273926258087,72.95454406738281
1,0.13824865221977234,0.3216325044631958,64343168.0,0.20066198706626892,0.36659112572669983,75444792.0
2,0.12988783419132233,0.31190943717956543,59327900.0,0.16196295619010925,0.36766764521598816,127327848.0
3,0.13241231441497803,0.31468427181243896,60132800.0,0.1556137651205063,0.35642653703689575,110059464.0
4,0.12760622799396515,0.30686670541763306,58688812.0,0.19297221302986145,0.37762367725372314,99812512.0
5,0.12344561517238617,0.3023228347301483,56645780.0,0.16358040273189545,0.35861092805862427,108347120.0
6,0.11944859474897385,0.2941642105579376,51357280.0,0.16164293885231018,0.3572637736797333,108943096.0
7,0.1137714758515358,0.28581351041793823,51250680.0,0.16933099925518036,0.3554685413837433,107768728.0
8,0.1065235584974289,0.2689454257488251,47366128.0,0.208065465092659,0.36699891090393066,91593408.0
9,0.10244762897491455,0.2598467171192169,46249268.0,0.18290172517299652,0.34610798954963684,84783944.0
10,0.09603206068277359,0.2522507607936859,44336824.0,0.18779130280017853,0.3531430661678314,107958720.0
11,0.09325145930051804,0.24581792950630188,43651812.0,0.19221210479736328,0.3525088131427765,103380400.0
12,0.09128677845001221,0.23978565633296967,41268364.0,0.1846715211868286,0.35039204359054565,105964536.0
13,0.09082188457250595,0.2355033904314041,40435816.0,0.18426483869552612,0.3481234908103943,94819232.0
14,0.09007956832647324,0.23723922669887543,41708904.0,0.20293942093849182,0.35562142729759216,94870848.0
15,0.0929608941078186,0.2424934059381485,41491796.0,0.1978732943534851,0.35812777280807495,105976944.0
16,0.08891092240810394,0.2356685996055603,41019028.0,0.20219919085502625,0.35530126094818115,90756768.0
17,0.09153876453638077,0.24056486785411835,41287080.0,0.2261732816696167,0.37202826142311096,79896104.0
18,0.09171246737241745,0.24294662475585938,44592652.0,0.18810683488845825,0.350601464509964,84781512.0
19,0.09401910752058029,0.2438228726387024,44765756.0,0.18664783239364624,0.34939315915107727,88258744.0
20,0.09324013441801071,0.24548333883285522,45013112.0,0.1918172687292099,0.35337603092193604,101840952.0
21,0.1124330684542656,0.2655368447303772,47552464.0,0.19312243163585663,0.3547038733959198,101938552.0
22,0.13553424179553986,0.29335275292396545,66221684.0,0.3596733808517456,0.4976671636104584,187873120.0
23,0.1542523056268692,0.31767112016677856,70458496.0,0.24321120977401733,0.4063723385334015,134162256.0
24,0.1484585702419281,0.3031972348690033,68512864.0,0.264299213886261,0.4248645007610321,147693456.0
