epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.172355622,0.347326607,58719004,0.305771351,0.396367013,2170255
1,0.137447655,0.322714478,68667072,0.171756819,0.346771687,91530200
2,0.138223782,0.320434749,65920568,0.164549425,0.352266729,102843784
3,0.13776505,0.323134571,67585264,0.169861242,0.352135122,98736408
4,0.130876437,0.309280694,61591740,0.309868127,0.403749198,6332779.5
5,0.126529664,0.301770627,55704024,0.30726552,0.395527393,72.95454407
6,0.121651851,0.29549244,50306780,0.234470353,0.371640533,50998652
7,0.117765501,0.291916013,47335796,0.198279068,0.359073907,72126952
8,0.109923214,0.278498948,43587556,0.172506943,0.350059062,89880144
9,0.10858614,0.276796132,43851088,0.158325076,0.344619989,100748872
10,0.106709495,0.274913251,43780792,0.154106095,0.338170141,96327656
11,0.102580503,0.268429101,41259912,0.156596139,0.343458861,100361856
12,0.096566834,0.256458789,39836960,0.184598178,0.354542613,116855192
13,0.098114558,0.256507903,40783928,0.171858147,0.349516124,96867224
14,0.094339482,0.246369898,45632268,0.177427396,0.345593959,87117720
15,0.093051307,0.243093938,43986700,0.184144422,0.349458635,98914288
16,0.093328208,0.242630631,40392496,0.214206651,0.376232564,108389912
17,0.101035602,0.252760559,47940456,0.189049497,0.346916765,82005064
18,0.099458098,0.252690643,45577168,0.18870151,0.351267934,94325312
19,0.11997658,0.270951957,57013304,0.186730906,0.368010879,119229960
20,0.130515575,0.283746928,69455272,0.188375756,0.352320969,104481544
21,0.129697248,0.277551085,57086624,0.19676958,0.355896384,86391304
22,0.113849543,0.266515791,45680720,0.254511356,0.375115067,44715040
23,0.10436587,0.257084966,43953860,0.197014853,0.356909007,94532592
24,0.096834071,0.249883235,43832012,0.225075617,0.35794276,67980608
