epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.109523684,0.276851445,65334808,0.180065051,0.348222643,82538104
1,0.091668725,0.248543486,52837344,0.186386973,0.35666278,106067904
2,0.085827753,0.235769838,48893404,0.186649546,0.353509247,99704656
3,0.082536317,0.233782157,48954816,0.197029188,0.35616684,96361832
4,0.077920623,0.226273105,46559744,0.193641871,0.349321097,83913664
5,0.081717454,0.230883688,49176484,0.198371291,0.349618107,84880656
6,0.076121651,0.219957739,45609616,0.197760791,0.358524591,93394112
7,0.071445614,0.216965839,46231268,0.200082451,0.355611593,91072704
8,0.072126947,0.217193633,44074424,0.203618914,0.358077109,92835032
9,0.067928649,0.208648205,41325420,0.200259194,0.356450856,90547768
10,0.067472525,0.206258729,42434048,0.199190974,0.354138494,87469216
11,0.066680737,0.206689984,43942388,0.199196726,0.354820818,85169088
12,0.064380579,0.20331727,40870980,0.204441801,0.35897857,90642864
13,0.062143803,0.195075452,39317748,0.20168975,0.356574237,90997880
14,0.059264056,0.195324078,40818568,0.208572581,0.35403651,77679736
15,0.059727941,0.192506462,38121660,0.204996631,0.353497982,77581040
16,0.056630637,0.188973993,37488472,0.208868146,0.360529929,89726648
17,0.055978745,0.18787992,37235596,0.209130108,0.358400524,87051656
18,0.054022472,0.183257192,38263012,0.20794791,0.357904881,88598368
19,0.051706605,0.177609369,37333944,0.212709531,0.355038583,79976800
20,0.049836308,0.175199136,34643124,0.213070542,0.359100133,87346192
21,0.051980294,0.178201318,35160556,0.21204187,0.359226376,80993296
22,0.050095212,0.173225239,32445622,0.212300912,0.361632377,83500712
23,0.046353627,0.16735439,33266240,0.216398567,0.364631951,86150536
24,0.047046244,0.169125184,33375118,0.215405539,0.359267622,76372736
