epoch,cosine_similarity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,root_mean_squared_error,val_cosine_similarity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_root_mean_squared_error
0,0.8330000042915344,0.1531430184841156,0.3390384316444397,88829416.0,0.1531430184841156,0.07967722415924072,0.3913349211215973,0.7295454740524292,0.17948512732982635,0.3762137293815613,145056848.0,0.17948512732982635,0.09561672806739807,0.4236568510532379
1,0.8330000042915344,0.1338416486978531,0.31548377871513367,77927176.0,0.1338416486978531,0.0698252022266388,0.3658437430858612,0.7295454740524292,0.16541826725006104,0.35764163732528687,124297576.0,0.16541826725006104,0.08616556972265244,0.4067164361476898
2,0.8330000042915344,0.11998807638883591,0.29630085825920105,73757840.0,0.11998807638883591,0.06330608576536179,0.346392959356308,0.7295454740524292,0.1639607846736908,0.3518024682998657,115007664.0,0.1639607846736908,0.08406214416027069,0.4049207270145416
3,0.8330000042915344,0.11192512512207031,0.2867296040058136,67867696.0,0.11192512512207031,0.05868400260806084,0.334552139043808,0.7295454740524292,0.16609539091587067,0.34928274154663086,109678752.0,0.16609539091587067,0.08413519710302353,0.4075480103492737
4,0.8330000042915344,0.11160261183977127,0.28253912925720215,67131360.0,0.11160261183977127,0.05819886550307274,0.33406975865364075,0.7295454740524292,0.1697409749031067,0.34814831614494324,106020712.0,0.1697409749031067,0.08530210703611374,0.41199633479118347
5,0.8330000042915344,0.11093879491090775,0.28197115659713745,63835656.0,0.11093879491090775,0.05730343610048294,0.33307474851608276,0.7295454740524292,0.17318767309188843,0.34883198142051697,104639928.0,0.17318767309188843,0.08664771914482117,0.4161582291126251
6,0.8330000042915344,0.10497894883155823,0.2694033682346344,60562304.0,0.10497894883155823,0.05429677665233612,0.32400456070899963,0.7295454740524292,0.1752176731824875,0.34730157256126404,101251584.0,0.1752176731824875,0.08717691898345947,0.41859009861946106
7,0.8330000042915344,0.1043744683265686,0.26852312684059143,61287972.0,0.1043744683265686,0.053801245987415314,0.32307037711143494,0.7295454740524292,0.17858684062957764,0.34917059540748596,101163232.0,0.17858684062957764,0.0886942446231842,0.422595351934433
8,0.8330000042915344,0.10213696956634521,0.2638961374759674,58016816.0,0.10213696956634521,0.05225083604454994,0.3195887506008148,0.7295454740524292,0.18052315711975098,0.34787875413894653,98995768.0,0.18052315711975098,0.08934342116117477,0.42488017678260803
9,0.8330000042915344,0.09946196526288986,0.25960206985473633,59460892.0,0.09946196526288986,0.05121033638715744,0.3153759241104126,0.7295454740524292,0.1833086907863617,0.3484079837799072,98027904.0,0.1833086907863617,0.09054900705814362,0.4281456470489502
