epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.182593167,0.359940499,89594616,0.483849227,0.581445336,257661952
1,0.185182393,0.362986356,97209824,0.171516106,0.373277843,135436384
2,0.166023046,0.345727682,90069440,0.164023161,0.36145553,105162536
3,0.185383469,0.365491182,89319704,0.477393121,0.581396878,255305200
4,0.176599562,0.352998227,93788360,0.352430582,0.489588022,206670096
5,0.153323576,0.332333803,85427056,0.154347703,0.358737648,121880368
6,0.150127038,0.330680549,83409472,0.190914765,0.382250726,140120192
7,0.158960879,0.338224441,83109424,0.457211018,0.557450533,248668816
8,0.154597104,0.336919248,79936928,0.35008952,0.482596278,209364048
9,0.147388309,0.328168273,78877296,0.252608448,0.419380873,163265856
10,0.145009652,0.321429431,81465848,0.215786263,0.390618801,146377248
11,0.144134894,0.323951989,78607360,0.192600325,0.37858513,139303120
12,0.141821146,0.31919235,70872560,0.2288533,0.385978311,73092448
13,0.151915461,0.327659428,63208232,0.196649671,0.374346882,97064736
14,0.153696254,0.333105117,65161600,0.2283566,0.388142318,74282856
15,0.14401783,0.323962271,63886640,0.187125668,0.363078654,94765792
16,0.149303705,0.329853088,63167932,0.198548645,0.370736182,97362376
17,0.143699154,0.319285274,62374436,0.198158503,0.364358634,79504040
18,0.153120533,0.328931749,60845236,0.172092244,0.364232242,111247360
19,0.14535898,0.319458663,60309624,0.208901003,0.363803685,66583132
20,0.148034781,0.32324174,62350820,0.196847171,0.360739827,77791968
21,0.140115678,0.312061757,62227420,0.203196704,0.370257825,96363864
22,0.131198376,0.301719338,59807032,0.205052033,0.371806592,104372888
23,0.133703411,0.302224815,59632252,0.182926044,0.35779044,92203240
24,0.13337265,0.30084601,58722576,0.150216147,0.34135434,102692472
