epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.1629180908203125,0.3374832570552826,79138776.0,0.516210675239563,0.6044725179672241,270454848.0
1,0.15225979685783386,0.3263894319534302,72368264.0,0.516210675239563,0.6044725179672241,270454848.0
2,0.15932956337928772,0.3319968581199646,69698408.0,0.30828532576560974,0.39692944288253784,1531843.875
3,0.160215362906456,0.3407110571861267,62212136.0,0.2098284661769867,0.36319223046302795,63911136.0
4,0.13753286004066467,0.3176638185977936,58667696.0,0.2621914744377136,0.37676912546157837,30737524.0
5,0.13183680176734924,0.30913934111595154,56130824.0,0.18405313789844513,0.33667832612991333,50803452.0
6,0.1409825086593628,0.3201499283313751,64541232.0,0.3278435170650482,0.4160929024219513,18170954.0
7,0.12439398467540741,0.3016877770423889,68338864.0,0.1796623021364212,0.35038086771965027,94204680.0
8,0.11191941052675247,0.2879077196121216,64338788.0,0.1708247810602188,0.3535643219947815,110049232.0
9,0.10857370495796204,0.28245314955711365,58980404.0,0.15227165818214417,0.3437322676181793,100143104.0
10,0.1022203266620636,0.27012011408805847,58044628.0,0.16605347394943237,0.3349002003669739,80751040.0
11,0.10356452316045761,0.2727990448474884,59663544.0,0.1564694195985794,0.346243292093277,103011632.0
12,0.09933377057313919,0.2650435268878937,56582280.0,0.15979081392288208,0.3528527021408081,112806736.0
13,0.09964529424905777,0.2658524215221405,57590752.0,0.1764364242553711,0.3401768207550049,64009864.0
14,0.09428075700998306,0.2586042881011963,55985376.0,0.16992920637130737,0.3335988521575928,63204568.0
15,0.0956980362534523,0.25841307640075684,59299956.0,0.173534095287323,0.34824541211128235,113566704.0
16,0.09325824677944183,0.25464165210723877,55446776.0,0.1875281035900116,0.36937204003334045,128679704.0
17,0.0957573801279068,0.25917506217956543,57668244.0,0.16207122802734375,0.34016311168670654,96382816.0
18,0.09320085495710373,0.2510719895362854,52023296.0,0.19583550095558167,0.34538644552230835,50111428.0
19,0.09717938303947449,0.26215988397598267,57321024.0,0.1719174087047577,0.35507526993751526,115511584.0
20,0.09201953560113907,0.25203457474708557,55764268.0,0.17726178467273712,0.36726900935173035,105658960.0
21,0.09283764660358429,0.25559356808662415,54845584.0,0.1667049527168274,0.34695228934288025,91180984.0
22,0.09026668220758438,0.24982605874538422,54520292.0,0.15534940361976624,0.3480881452560425,107122744.0
23,0.09084077924489975,0.25194814801216125,53121772.0,0.16334399580955505,0.34530049562454224,96824560.0
24,0.09090930968523026,0.2478548139333725,55818164.0,0.1778566688299179,0.3395569324493408,62408984.0
