epoch,cosine_similarity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,root_mean_squared_error,val_cosine_similarity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_root_mean_squared_error
0,0.8330000042915344,0.14520736038684845,0.31618553400039673,66416372.0,0.14520736038684845,0.07250663638114929,0.3810608386993408,0.7295454740524292,0.15795285999774933,0.34756040573120117,98401640.0,0.15795285999774933,0.07822125405073166,0.3974328339099884
1,0.8330000042915344,0.14648382365703583,0.31308984756469727,67530384.0,0.14648382365703583,0.07366570830345154,0.3827320635318756,0.7295454740524292,0.16646991670131683,0.3554779887199402,104665440.0,0.16646991670131683,0.08296415209770203,0.40800726413726807
2,0.8330000042915344,0.14220255613327026,0.31417837738990784,62710676.0,0.14220255613327026,0.07078760862350464,0.37709754705429077,0.7295454740524292,0.17103531956672668,0.3559129536151886,104491984.0,0.17103531956672668,0.08510901033878326,0.41356417536735535
3,0.8330000042915344,0.12651577591896057,0.2918700575828552,58626840.0,0.12651577591896057,0.06379430741071701,0.3556905686855316,0.7295454740524292,0.17335698008537292,0.3545372486114502,103470008.0,0.17335698008537292,0.08610501140356064,0.41636160016059875
4,0.8330000042915344,0.12457002699375153,0.2914365828037262,57096828.0,0.12457002699375153,0.06274514645338058,0.3529447913169861,0.7295454740524292,0.177292600274086,0.35474082827568054,103227576.0,0.177292600274086,0.08791835606098175,0.42106127738952637
5,0.8330000042915344,0.1258518397808075,0.29069045186042786,57634088.0,0.1258518397808075,0.06326591968536377,0.35475602746009827,0.7295454740524292,0.17973235249519348,0.35357144474983215,101936680.0,0.17973235249519348,0.08894558250904083,0.4239485263824463
6,0.8330000042915344,0.11918934434652328,0.2812817394733429,55105024.0,0.11918934434652328,0.06040985509753227,0.3452380895614624,0.7295454740524292,0.18198128044605255,0.35265618562698364,101430728.0,0.18198128044605255,0.08994007855653763,0.4265926480293274
7,0.8330000042915344,0.12011764198541641,0.2824713885784149,55313656.0,0.12011764198541641,0.06027322635054588,0.346579909324646,0.7295454740524292,0.1855636090040207,0.3524966835975647,99684536.0,0.1855636090040207,0.09146273881196976,0.4307709336280823
8,0.8330000042915344,0.10850729048252106,0.263998806476593,52728384.0,0.10850729048252106,0.05514320731163025,0.32940444350242615,0.7295454740524292,0.18808874487876892,0.35311636328697205,100222008.0,0.18808874487876892,0.09267780929803848,0.43369197845458984
9,0.8330000042915344,0.11613894999027252,0.2739640474319458,53637328.0,0.11613894999027252,0.0587785467505455,0.34079164266586304,0.7295454740524292,0.18988485634326935,0.35304486751556396,99501736.0,0.18988485634326935,0.09342406690120697,0.4357577860355377
10,0.8330000042915344,0.11631694436073303,0.2735290229320526,54011904.0,0.11631694436073303,0.05896000564098358,0.34105271100997925,0.7295454740524292,0.19262094795703888,0.3533634841442108,98978664.0,0.19262094795703888,0.0947016254067421,0.43888601660728455
11,0.8330000042915344,0.10727488249540329,0.2620888650417328,47232312.0,0.10727488249540329,0.05441068112850189,0.3275284469127655,0.7295454740524292,0.19502529501914978,0.35440924763679504,99086656.0,0.19502529501914978,0.09587784111499786,0.4416166841983795
12,0.8330000042915344,0.1057729572057724,0.25669121742248535,47048972.0,0.1057729572057724,0.05324174463748932,0.3252275586128235,0.7295454740524292,0.19743339717388153,0.35529547929763794,99892920.0,0.19743339717388153,0.09698154777288437,0.4443347752094269
13,0.8330000042915344,0.11021087318658829,0.2634545862674713,48230404.0,0.11021087318658829,0.05549430474638939,0.33198022842407227,0.7295454740524292,0.1988305300474167,0.35483330488204956,98349944.0,0.1988305300474167,0.09755397588014603,0.4459041655063629
14,0.8330000042915344,0.11076626181602478,0.26308953762054443,50785552.0,0.11076626181602478,0.05592230334877968,0.33281564712524414,0.7295454740524292,0.20079366862773895,0.3552054762840271,98574288.0,0.20079366862773895,0.09844667464494705,0.4481000602245331
15,0.8330000042915344,0.10915539413690567,0.26103585958480835,49848216.0,0.10915539413690567,0.05500287562608719,0.3303867280483246,0.7295454740524292,0.20130591094493866,0.3556898534297943,98703280.0,0.20130591094493866,0.09867975115776062,0.44867128133773804
