epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.14627762138843536,0.3219822347164154,54227692.0,0.3072655200958252,0.3955273926258087,72.95454406738281
1,0.13851886987686157,0.31183740496635437,54878364.0,0.3072655200958252,0.3955273926258087,72.95454406738281
2,0.13872785866260529,0.31991302967071533,59560952.0,0.3072655200958252,0.3955273926258087,72.95454406738281
3,0.1525225192308426,0.33236655592918396,63623400.0,0.1993613839149475,0.3629566431045532,59760492.0
4,0.1374313235282898,0.3205690085887909,58960796.0,0.15054801106452942,0.3490799367427826,108625992.0
5,0.14377357065677643,0.32152193784713745,56692904.0,0.3072655200958252,0.3955273926258087,72.95454406738281
6,0.13689060509204865,0.31209367513656616,53866568.0,0.3046743869781494,0.3945713937282562,839368.3125
7,0.1324252188205719,0.31160444021224976,53016724.0,0.3072613775730133,0.39552533626556396,72.95433807373047
8,0.12449965626001358,0.30350610613822937,52911644.0,0.21779893338680267,0.3700540363788605,65795064.0
9,0.11973642557859421,0.2937704026699066,51748660.0,0.18308688700199127,0.3479360044002533,66980552.0
10,0.11973124742507935,0.29421550035476685,52731348.0,0.22284723818302155,0.37037333846092224,49208496.0
11,0.11934487521648407,0.2930726408958435,50725628.0,0.15107941627502441,0.3422580361366272,98226968.0
12,0.1230730339884758,0.29725971817970276,50863372.0,0.3063710033893585,0.3950245678424835,72.90425872802734
13,0.12895263731479645,0.308373361825943,58995588.0,0.4239254891872406,0.5496976375579834,222890672.0
14,0.12515439093112946,0.30291619896888733,53282784.0,0.21090665459632874,0.3749639391899109,67535984.0
15,0.12299404293298721,0.3006923198699951,53290056.0,0.15558771789073944,0.33903732895851135,80773560.0
16,0.11533407121896744,0.28753751516342163,51071040.0,0.1497984677553177,0.34495776891708374,99241288.0
17,0.11179684847593307,0.28047361969947815,48770480.0,0.16920103132724762,0.36519142985343933,117597072.0
18,0.11849816143512726,0.28825655579566956,51102656.0,0.1720326542854309,0.3819596767425537,145978304.0
19,0.13171370327472687,0.30658724904060364,54739264.0,0.3072655200958252,0.3955273926258087,72.95454406738281
20,0.12178120017051697,0.2948736250400543,49432284.0,0.1978645771741867,0.37934595346450806,96730504.0
21,0.12720751762390137,0.2993077337741852,51768672.0,0.30256524682044983,0.39260491728782654,1266048.875
22,0.12063003331422806,0.2895084321498871,46329424.0,0.1632675975561142,0.36749812960624695,129075616.0
23,0.11858406662940979,0.28899824619293213,52881396.0,0.1985357701778412,0.34164369106292725,47021472.0
24,0.11601321399211884,0.2845176160335541,46652436.0,0.1871829479932785,0.3383481204509735,56324900.0
