epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.11578873544931412,0.2674887478351593,49334748.0,0.24055692553520203,0.4164868891239166,166581696.0
1,0.10369161516427994,0.24690984189510345,44509352.0,0.23297226428985596,0.36747148633003235,49148784.0
2,0.09746934473514557,0.24763688445091248,47201692.0,0.18854404985904694,0.3434211313724518,81341824.0
3,0.09049510955810547,0.24138645827770233,47849988.0,0.21668002009391785,0.3531947135925293,66452492.0
4,0.08686519414186478,0.23007577657699585,44995160.0,0.21097716689109802,0.354230672121048,75500936.0
5,0.07818333804607391,0.2195539027452469,45329228.0,0.22059375047683716,0.36104902625083923,72536928.0
6,0.08230692893266678,0.22740601003170013,46725364.0,0.21880295872688293,0.3604355752468109,86293456.0
7,0.0737132877111435,0.21566316485404968,45259152.0,0.22785590589046478,0.3615680932998657,85557584.0
8,0.07337450981140137,0.2122153490781784,42087384.0,0.22833561897277832,0.37118786573410034,94664824.0
9,0.07553838193416595,0.2168334722518921,42952868.0,0.2312377244234085,0.372912734746933,76201760.0
10,0.06737195700407028,0.20526158809661865,42366896.0,0.21827179193496704,0.35559967160224915,74287776.0
11,0.06930413842201233,0.20281921327114105,39634852.0,0.19130975008010864,0.35494092106819153,105950336.0
12,0.0672202780842781,0.20216545462608337,40136296.0,0.2222762405872345,0.3645688593387604,77797680.0
13,0.06557165831327438,0.20077379047870636,41066488.0,0.22768853604793549,0.3587890863418579,59108364.0
14,0.06365963071584702,0.19634902477264404,38562952.0,0.21779422461986542,0.36483532190322876,84285576.0
15,0.06439770758152008,0.19841718673706055,40043016.0,0.2302854210138321,0.3668322265148163,76463520.0
16,0.05807635188102722,0.18173356354236603,34429528.0,0.22557303309440613,0.3693607449531555,99032200.0
17,0.060797035694122314,0.19018179178237915,37494512.0,0.21981094777584076,0.3631926476955414,76652936.0
18,0.05502970889210701,0.17928236722946167,33278430.0,0.21141479909420013,0.3603076934814453,90457032.0
19,0.05817113816738129,0.18208815157413483,36087464.0,0.2334202229976654,0.3718684911727905,92118144.0
20,0.05161254480481148,0.17248886823654175,35369124.0,0.22584950923919678,0.3615816533565521,69317696.0
21,0.05667857080698013,0.1804189831018448,31024024.0,0.2206074595451355,0.3649463951587677,61698240.0
22,0.052381731569767,0.17333418130874634,34348232.0,0.23758524656295776,0.3682901859283447,75909360.0
23,0.050410836935043335,0.16806796193122864,30307646.0,0.22790710628032684,0.36388155817985535,58423428.0
24,0.049869101494550705,0.1681734174489975,30659290.0,0.2046356052160263,0.3479313254356384,58056956.0
